suite,case,ORDER,DISK_SIZE,AMORTIZED,N,SEED,LOOKAHEAD_SIZE,PROG_SIZE,READ_SIZE,BLOCK_SIZE,bench_readed,bench_proged,bench_erased
bench_btree,bench_btree_lookup,0,1073741824,0,234,1,32768,1,1,4096,10828,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,237,1,32768,1,1,4096,11758,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,252,1,32768,1,1,4096,13154,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,236,1,32768,1,1,4096,11675,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,244,1,32768,1,1,4096,7514,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,247,1,32768,1,1,4096,8144,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,266,1,32768,1,1,4096,11836,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,250,1,32768,1,1,4096,8700,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,243,1,32768,1,1,4096,12823,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,251,1,32768,1,1,4096,8867,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,253,1,32768,1,1,4096,9660,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,257,1,32768,1,1,4096,10334,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,246,1,32768,1,1,4096,7897,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,249,1,32768,1,1,4096,8579,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,264,1,32768,1,1,4096,11452,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,248,1,32768,1,1,4096,8344,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,256,1,32768,1,1,4096,10150,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,259,1,32768,1,1,4096,10549,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,278,1,32768,1,1,4096,9107,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,262,1,32768,1,1,4096,12652,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,255,1,32768,1,1,4096,10039,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,263,1,32768,1,1,4096,11246,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,265,1,32768,1,1,4096,11655,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,269,1,32768,1,1,4096,12341,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,258,1,32768,1,1,4096,10676,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,261,1,32768,1,1,4096,10888,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,276,1,32768,1,1,4096,8772,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,260,1,32768,1,1,4096,10760,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,268,1,32768,1,1,4096,12196,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,271,1,32768,1,1,4096,13092,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,290,1,32768,1,1,4096,11625,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,274,1,32768,1,1,4096,8404,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,267,1,32768,1,1,4096,11967,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,275,1,32768,1,1,4096,8568,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,277,1,32768,1,1,4096,8943,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,281,1,32768,1,1,4096,9528,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,270,1,32768,1,1,4096,12827,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,273,1,32768,1,1,4096,8215,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,288,1,32768,1,1,4096,11190,0,0
bench_btree,bench_btree_lookup,0,1073741824,0,282,1,32768,1,1,4096,9700,0,0
